City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,akureyri,65.6835,-18.0878,-1.04,59,0,9.26,IS,1736462132
343,treuchtlingen,48.95,10.9167,0.31,85,100,6.97,DE,1736462134
344,touros,-5.1989,-35.4608,26.61,82,73,3.96,BR,1736462135
345,dzuunmod,48.2199,97.3744,-19.53,90,94,1.45,MN,1736462136
346,luganville,-15.5333,167.1667,27.47,79,52,3.13,VU,1736462137
347,bereznik,62.8551,42.7072,-11.04,85,85,4.03,RU,1736462138
348,neiafu,-18.65,-173.9833,25.38,94,100,4.12,TO,1736462139
349,crane,31.3974,-102.3501,7.45,48,83,4.42,US,1736462140
350,antonio enes,-16.2325,39.9086,25.11,90,59,3.25,MZ,1736462141
351,jalai nur,49.45,117.7,-25.63,91,81,0.92,CN,1736462142
352,arraial do cabo,-22.9661,-42.0278,23.98,100,40,2.57,BR,1736462143
353,richards bay,-28.783,32.0377,24.4,88,47,4.73,ZA,1736462144
354,slave lake,55.2834,-114.769,-0.01,69,40,3.09,CA,1736462102
355,zhaoyuan,37.3592,120.3964,-5.9,64,7,4.14,CN,1736462146
356,tumayr,25.7039,45.868,11.15,60,99,1.39,SA,1736462147
357,al jubayl,27.0112,49.6583,16.57,58,37,5.63,SA,1736462148
358,haiku-pauwela,20.9219,-156.3051,26.69,72,40,11.62,US,1736462149
